country_code,category_list,average_funding,num_startups
NZL,Mobile,165000000,1
FRA,Discounts|Entertainment|Internet|Ticketing,33457,1
BEL,"Curated Web",966728,1
USA,"Internet of Things|M2M|Software",4000000,1
USA,"Application Platforms|Health and Wellness|Mobile|Mobile Health|Software",300000,1
USA,"Cloud Infrastructure|Corporate IT|Enterprise Software",37644420,1
USA,"Landscaping|Natural Resources",20000,1
USA,Advertising|Media,6000,1
USA,"Curated Web|Online Dating|Social Network Media",2300000,1
AUS,"Art|Beauty|Fashion|Lifestyle|Music|Social Media|Social Network Media",300000,1
USA,EdTech|Education|Software,95875000,1
CAN,E-Commerce|Navigation|Tourism,80000,1
USA,Apps|Creative|Design|Finance|Mobile|Photography|Software,25000,1
USA,Finance|FinTech,16500000,5
GBR,"E-Commerce|Wine And Spirits",2274716,1
USA,"Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media",25654560,1
IND,Internet,1806666.6666666667,3
USA,"Consumer Electronics|Software",17800000,1
CHN,"Biotechnology|Life Sciences|Media|News|Pharmaceuticals",5000000,1
USA,Biotechnology|Dental,32529256,2
CAN,Software,3300058.4444444445,9
FRA,"Communities|Corporate Training|Education",1543920,1
USA,"Data Centers|Information Technology|Internet|Services",16000000,1
GBR,Android|Apps|iPhone|Mobile|Sports,6700000,1
CHN,"Blogging Platforms|Internet|Public Relations|Social Media|Startups",1573976,1
USA,Bitcoin,525000,1
CHE,"Networking|Online Travel|Travel",1719583,1
USA,"Business Services|Marketing Automation|Mobile",6000000,1
BRA,"Cloud Computing|Communications Hardware|Contact Centers|Customer Service|Internet|Software|VoIP|Web Development",75000,1
ITA,Biotechnology,133620,1
USA,"Babies|Big Data Analytics|E-Commerce|Fashion|Kids",35000,1
USA,"Consumer Electronics|Electronic Health Records|Health Care|iPad|Software",500000,1
USA,"Customer Service|Sales and Marketing|Software|Telephony",9311190,1
USA,"Enterprise Software",15720793.685185185,54
USA,"3D|3D Technology|Events",750000,1
USA,"3D Technology|Sensors",500000,1
USA,Games,4402420.181818182,22
USA,Photography|Video,350000,1
NLD,"3D Printing|Collaborative Consumption|Local|Marketplaces",4500000,1
GBR,"3D|Curated Web|Manufacturing|Search|Supply Chain Management|Visualization",1200000,1
USA,"3D Printing|Health and Wellness|Health Care",7500,1
USA,"3D|3D Technology|E-Commerce|Internet|Online Shopping",240000,1
USA,Drones|Manufacturing,99000000,1
FRA,"Hardware + Software",10133601,5
IRL,"Health Care",16399999,1
USA,3D|Medical|Physicians,1880000,1
USA,"3D Printing|Manufacturing",1150000,1
RUS,"3D|Computer Vision|Kinect|Robotics|Software",2670000,1
JOR,"3D Printing|3D Technology|Printing",30000,1
USA,Printing,3000,1
IND,3D|Mobile,2065000,1
USA,"Finance|Software|Venture Capital",140000,1
USA,"Automated Kiosk|Brand Marketing|Custom Retail|Retail|Travel",1387500,1
HUN,"Android|B2B|Brand Marketing|iPhone|Mobile|Music|Video Streaming",1700000,1
CHN,Mobile,9546699.8,10
CHN,Semiconductors,19854075,2
USA,Messaging|SMS,4000000,1
USA,"Web Hosting",41360081.82608695,23
GBR,"iOS|Location Based Services|Mobile|Online Dating|Social Media",500000,1
USA,"Cloud Data Services|Services|Software",148000000,1
USA,Consulting|Software,25920000,1
FRA,Mobile,1394250,1
USA,"Developer APIs|Enterprise Software|Infrastructure|Services|Software",5000000,1
USA,"App Marketing|Software",2000000,1
USA,"Physical Security|Security",13000000,1
IRL,Software,8231000,2
IRL,"Coupons|Online Shopping|Payments|Retail Technology",50958896.61,1
USA,Security,29801340,29
USA,"Flash Storage|Security",3393925,1
BWA,"Networking|Web Hosting",1000,1
USA,"Machine Learning|Network Security",81000,1
USA,"Crowdfunding|Entrepreneur|Finance|FinTech|Networking|Peer-to-Peer|Social Media|Venture Capital",1050000,1
USA,Messaging,65171716.2,5
USA,"Commercial Real Estate|Real Estate",17400000,1
USA,"Creative|Creative Industries|Databases",450000,1
SWE,Internet|Telecommunications,485841.2451,1
USA,"Automotive|Clean Energy|Cloud Computing|Internet|Software|Wireless",9416354,1
USA,"Ad Targeting|Big Data Analytics|Mobile Advertising",320288000,1
USA,"Hardware + Software",12547630.660714285,56
ROM,"Cloud Computing|Messaging|Telephony|Unifed Communications",6500000,1
GBR,Games,7200000,3
USA,Apps|Education|Kids|Religion,50000,1
GBR,Advertising|Software,615480.5,2
USA,"Real Estate|Retail|Service Providers",50000,1
BRA,Pets,762500,1
GBR,Aerospace,95445,1
USA,"Consumer Electronics|Mobile Devices",180000,1
USA,"E-Commerce|Enterprise Software|Loyalty Programs|Social Media",12900000,1
CAN,"Apps|Internet|Photography|Promotional|Sales and Marketing",22325000,1
CHN,E-Commerce,605951193.5555556,9
CHN,Education,20888428,5
CHN,Games,2748708,6
DEU,"Art|Creative|Creative Industries",234705,1
CHN,Photography,30000000,1
CHN,"Curated Web|Internet|Software",876780000,1
GBR,"Mobile|Software|Web Design|Web Development",5100000,1
USA,Mobile|Technology|Wireless,4566736,2
ESP,"Music|Ticketing|Web Development",368750,1
USA,Education|Games|Video,12800000,1
GBR,"Art|Curated Web|Photography|Social Media",15873,1
KOR,Games,2424232.5,2
USA,"Advertising|Digital Media|Distribution|Social Media",250000,1
USA,"Games|Mobile|Mobile Games|Online Gaming",3000000,1
USA,"Advertising|Internet|Internet Marketing",152650808,2
GBR,"Accounting|Business Development|Finance|Software|Web Development",1300000,1
USA,"Browser Extensions|Curated Web|Social Media",100000,1
USA,"Information Services|Information Technology|Internet Marketing|SEO",100000,1
CAN,"Concentrated Solar Power|Manufacturing|Solar",5714285.714,1
USA,"B2B|Predictive Analytics|Sales and Marketing",32000000,1
USA,"Health and Wellness|Specialty Foods",8000000,1
USA,Nanotechnology,18036821.5,6
GBR,"Social Network Media",1556687,1
USA,Analytics|E-Commerce|Software,6528902,1
CHN,Bicycles|Communities,15000000,1
USA,"Analytics|Network Security|Shipping|Small and Medium Businesses|Startups",2450000,1
FIN,"Analytics|Health and Wellness|Predictive Analytics",190035,1
USA,"Advertising|Consumers|E-Commerce|Mobile Commerce|Retail|SaaS|Software",1500000,1
NZL,"Curated Web",650000,1
GBR,"Social Media",47570,1
GBR,"Content Creators|Content Delivery|Licensing|Music|Music Services|Technology",20068328.45,1
USA,"Analytics|B2B|Big Data|Business Intelligence|Enterprises|Enterprise Software|Finance|Mobile|SaaS",3000000,1
USA,"Brand Marketing|Communities|Consulting|Semantic Search|SEO",600000,1
NLD,Publishing,269260,1
USA,"Design|Internet|Shared Services",4500000,1
USA,"Digital Entertainment|Entertainment|Sports",27000000,1
GBR,"Advertising|Content Discovery",140000,1
USA,Exercise|Fitness|Tracking,2730000,1
USA,Music,5512996,5
USA,"Contact Centers|Telecommunications|Unifed Communications|Video Conferencing",126000000,1
USA,Consulting,6226041.666666667,12
GBR,Media|News|Publishing|Soccer|Sports,38800000,1
ISR,"Apps|Consumer Electronics|Mobile|Social Media|Television|Weddings",100000,1
USA,"Food Processing",3000000,1
IND,Mobile,50500000,2
USA,Mobile|Publishing,10450000,1
CHN,E-Commerce|Payments,83574271,1
USA,"Crowdsourcing|Design|Marketplaces|Online Shopping",45000000,1
AUS,"Fashion|File Sharing",105651,1
USA,"E-Commerce|Trading|Video Games",100000,1
BRA,"Apps|Logistics|Postal and Courier Services",442943,1
IND,"E-Commerce|Social Commerce",20000,1
CHN,Manufacturing,32695089.25,4
BRA,"Android|iOS|Mobile|Mobile Payments|SaaS|Taxis",25000000,1
IND,Software,4946250,8
CHN,Automotive|Cars|E-Commerce,80000,1
RUS,"SEO|Social Media",70000,1
USA,"Business Analytics|Enterprise Software|SaaS|Software",7200000,1
USA,Software|Technology,900000,1
USA,"Enterprises|Enterprise Software|iPad|Presentations|SaaS|Training",925000,1
USA,"Digital Media|News|Social Media",3500000,1
USA,Chemicals,2500000,1
USA,"Games|Social Games",7668551.5,2
USA,Limousines,45000,1
USA,"Media|News|Photo Sharing|Video",1090000,1
IND,Finance,5527500,4
CHN,"Clean Technology",16064510,2
USA,"Android|Business Productivity|CRM|iOS|iPad|iPhone|Mobile|Point of Sale|Productivity Software",20000,1
USA,"Cloud Computing|Communications Hardware|Hardware|Networking|Optimization|Security|SEO|Technology|Virtualization|Web Hosting",118000000,1
USA,"Batteries|Clean Technology|Energy Storage|Mobile",502860000,1
CHN,Music,50000000,1
USA,"Music|Social Network Media",350000,1
IND,Consulting|Recruiting,3100000,1
USA,"Human Resources",20000000,1
BRA,"Social Media",442457,1
FIN,Mobile,3653333.3333333335,3
ESP,EdTech|Education,3356695,1
USA,SaaS|Software,13738075.25,4
USA,"Advertising|Advertising Platforms|Optimization|Software",825000,1
IRL,"Music|Video Editing|Web Development",263400,1
USA,"Finance|Finance Technology|Financial Services|FinTech|Insurance|Personal Finance|Software",720000,1
USA,"Oil & Gas",9318640,3
FRA,Software,6647009.097857143,14
CHE,"Automotive|Clean Technology|Energy|Technology",2700000,1
USA,E-Commerce|Fashion|Women,875000,1
CYP,"Apps|Social Network Media",900000,1
USA,"Biotechnology|Health and Wellness|Medical|Venture Capital",6790000,1
RUS,"Communications Infrastructure|Data Visualization|Software",6000000,1
RUS,"Business Services",375000,1
IND,Advertising,2762500,2
GBR,Biotechnology|Events,78799653,1
CRI,"B2B|Marketplaces|Services|Social Media",147000,1
GBR,Biotechnology,24717256.579933334,15
USA,Fashion,2480000,7
USA,"Health Care",37036808.118421055,76
USA,"Curated Web|Health and Wellness|Health Care|Internet|Medical|Psychology|Teachers|Technology|Therapeutics|VoIP|Web Development",21000000,1
USA,"Curated Web|Privacy",6467283,1
GBR,"Health Care|Health Diagnostics",9587245.5,2
USA,Biotechnology|Robotics|Technology,50000,1
CHE,Biotechnology|Medical|Nanotechnology,3986362,1
USA,"Cloud Computing|Cloud Infrastructure|Cloud Management|M2M|Open Source|Software|Virtualization|Web Hosting",26898770,1
USA,"Accounting|Consulting|CRM|Marketing Automation|Project Management",500000,1
USA,"Collaboration|Credit|Curated Web|Entrepreneur|Finance|FinTech|Small and Medium Businesses",17500000,1
USA,Local|Services|Translation,250000,1
CHN,"Big Data|Cloud Computing|Infrastructure|Mobile|Wireless",3000000,1
BEL,Biotechnology,94268118,2
USA,"Home Automation|Home Owners|Security",1000000,1
USA,"Real Estate|Search",2518000,1
USA,Design|Manufacturing|Semiconductors,3705137,1
USA,"Clean Technology|Solar",510000000,1
USA,"Big Data|Consumers|Personal Finance|Retirement",3000000,1
USA,"Curated Web|Identity|Identity Management",17087500,1
USA,"Contact Management|Curated Web|Events",4439407,1
CHE,"Information Security|Security",1737170,1
USA,"Financial Services",9668499.833333334,6
IDN,"Content Discovery|Hospitality|Restaurants|Social Media Platforms",1500000,1
BRA,"Advertising|Digital Media|Education|Media|News|Publishing",422000000,1
USA,Education,3206562,19
SWE,"Clean Technology|Energy|Oil",661000,1
IND,"Crowdsourcing|Curated Web|Sports",1220000,1
USA,"Engineering Firms|Environmental Innovation|Technology",1400000,1
GBR,Finance,2309080.5,2
DEU,E-Commerce|Fashion|Lifestyle,45000,1
USA,"B2B|Internet Service Providers|Security|Software",1300000,1
CHE,Biotechnology,39122942.8,5
USA,Apps|Gamification|iOS|Mobile,15000,1
USA,"Business Services|Intellectual Asset Management|Licensing",255100000,1
USA,"Bitcoin|Cloud Computing|Trading",3300,1
SVN,"Curated Web|EdTech|Education|Information Technology|Language Learning",11017508,1
CAN,Consulting,4499999,1
USA,"Advertising|Education|Lead Generation|Portals",10000000,1
USA,Finance,23335189.35,20
GBR,"Clean Technology",17016770.333333332,3
GBR,"Information Technology",5655762,2
ARG,EdTech|Education|Entrepreneur|Technology,142367,1
DNK,"Health Care",4710960,1
SWE,"Audio|Entertainment|Music|Social Media|Social Media Platforms",5000000,1
IND,"Energy|Mining Technologies",25090000,1
CAN,"Business Services|Enterprises|Mobile|Networking|Telecommunications",31040000,1
SWE,"Hardware + Software|Television",1270000,1
USA,"Diagnostics|Health Care|Health Diagnostics|Medical Devices",6012500,2
ISR,"Big Data|Databases|Information Technology",300000,1
USA,"Health Care|Health Diagnostics|Medical Devices",63016244,1
USA,Apps|Finance|Mobile|Sports,457282,1
USA,"Enterprise Software|Security",13410901,1
USA,"Logistics|Software|Storage|Supply Chain Management|Transportation",28500000,1
USA,"Analytics|Cloud Computing|Cloud Management|Networking|SaaS|Security|Virtualization",25000000,1
GBR,Domains|Internet|Ticketing,9280000,1
USA,"Biotechnology|Health and Wellness",53385247.4,5
IND,"Curated Web|Internet|Legal|Semantic Search|SEO",2000000,1
USA,"Credit Cards|Fraud Detection|Security",7131124,1
USA,"Cloud Computing|Data Centers|Networking|Services|Software|Web Hosting",1999998,1
ROM,"Advertising|Brand Marketing|Design|Web Design|Web Development",4500000,1
USA,"Advertising|Distribution|Mobile|Sales and Marketing|Social Media",24250000,1
USA,Advertising,17271335.145454545,55
USA,"Financial Services|Nonprofits|Social Fundraising",23000000,1
USA,"Aerospace|Manufacturing|New Product Development",2000000,1
USA,Nonprofits,1315216.6666666667,6
USA,Advertising|Internet|Services,5500000,1
USA,"Homeland Security|Security|Tracking",4700000,1
USA,"Analytics|Career Management|Recruiting|Social Recruiting",90000,1
USA,Biotechnology|Medical,9168523,4
USA,"Development Platforms|Health Care|Software",5000000,1
USA,Semiconductors,45998559.96875,32
USA,"Health and Wellness|Health Care|Healthcare Services",96244444,1
USA,"3D|Social Media|Technology",20600000,1
USA,"Big Data Analytics|Health Care Information Technology|SaaS",150000,1
USA,"B2B|Cloud Computing|Enterprises|Health and Wellness|Health Care|Network Security|SaaS",158000,1
JPN,"Cloud Computing|SaaS",8500000,1
USA,"Credit|Finance|Financial Services|Personal Finance",34072000,1
USA,"Medical Devices",6486519,8
USA,Construction,4000000,1
USA,"Health Care|Hospitals",6700000,1
SWE,"Mobile|Mobile Payments|Mobile Security|Security",12050000,1
GBR,Content|Events|Security|Software|Training,8033458,1
USA,"Internet Radio Market",2500000,1
GBR,"Hardware + Software",7580039.4,5
IRL,Mobile|Networking|Telecommunications,15000000,1
GBR,"Legal|Outsourcing|Recruiting|Service Providers",195858,1
NGA,"Consumer Goods|Content Delivery|Logistics",3715000,1
USA,"Public Relations",23777993.666666668,6
IRL,"Health and Wellness|Health Care|Health Care Information Technology|mHealth|Predictive Analytics",145562,1
USA,Finance|FinTech|Marketplaces|Nonprofits,75000,1
USA,"Education|Mobile Commerce|Technical Continuing Education",4700000,1
USA,"Education|Online Education|Services",4000000,1
TWN,"Consumer Electronics|Hardware + Software",150594138,1
USA,Pharmaceuticals,12476428.57142857,7
CAN,Semiconductors,7440000,2
USA,"Health Care|Physicians|Software",3638201,1
BRA,Advertising|Classifieds,30000,1
USA,"Biotechnology|Health Care",100131789.13333334,15
GBR,"E-Commerce|Gift Card|Home & Garden|Kids|Lifestyle|Retail|Travel",13274403,1
USA,"Finance Technology",50000,1
NLD,"Career Management|Education|Human Resources",100000,1
USA,"Employer Benefits Programs|Incentives|Services|Software",52422326,1
GBR,"Enterprise Software",1750000,2
USA,"Curated Web|Games|Gamification|Media|Social Media",1250000,1
USA,"Social Media|Storage|Video Streaming|Web Hosting",28000000,1
USA,"Internet of Things|Security|Software|Wireless",3400000,1
THA,E-Commerce,18800000,1
USA,"Android|Consumer Internet|Email|Enterprise Software|iOS|Mobile|Mobile Security|SaaS",7300000,1
DNK,"Hardware + Software",1998000,1
USA,Agriculture|Analytics|Coffee,20000,1
USA,Apps|Finance|FinTech|Mobile|Technology,31960000,1
GBR,Mobile|Networking,808211,1
USA,"Content|Enterprise Software|Social Media|Software|Web CMS",173500000,1
USA,"Real Estate",42605998.7,10
CAN,"Advertising Platforms|Software",12100000,1
USA,EdTech|Education,14970000,5
USA,Sports,850597.4,5
GBR,E-Commerce,14059121.123333335,3
COL,"Enterprise Software",150000,1
IND,"Internet Service Providers|Networking",500000000,1
USA,"Biotechnology|Health and Wellness|Medical|Pharmaceuticals",26980000,1
TWN,"Health and Wellness|Information Technology|Pharmaceuticals",8000000,1
USA,"CRM|Marketing Automation|Software",72500000,1
IRL,"B2B|Leisure|Travel & Tourism",116987,1
USA,"Internet|Software|Web Hosting",113616859,1
ISR,"Information Security|Software",100000,1
USA,"Enterprise Software|Information Services|Information Technology",207500000,1
FRA,Telecommunications,25000000,1
DNK,"Audio|Information Technology|Media|Messaging|Video",790398,1
USA,Collectibles|Entertainment|Games|Toys,100000,1
SVK,"Application Platforms|Professional Services|Project Management",242563,1
ISR,"Advertising|Business Development",400000,1
PRT,"Messaging|Productivity Software|Task Management",250000,1
CAN,"Finance|Venture Capital",250000,1
BEL,"Email|Marketing Automation|Software",900000,1
DEU,Biotechnology,29649225,7
USA,Fitness|Medical|Training,25000,1
USA,Consulting|Games|Motors,705000,1
NOR,Software,1120000,1
USA,"Comparison Shopping|Coupons|E-Commerce|Outdoors",1300000,1
USA,"Advertising|Mobile|Real Time",250000,1
FRA,"Cloud Computing",1054991,1
UKR,"Curated Web|Entertainment|Facebook Applications|Gift Card|Private Social Networking|Social Commerce|Social Network Media",20000,1
LTU,"Mobile|Mobile Social",490000,1
USA,"Software|Web Development",2000000,1
USA,"Mobile Security|Security|Software",680000,1
ISR,"Health Care",10000000,1
USA,"Advertising|B2B|Consumer Internet|Internet|Marketplaces",185000,1
ISL,"Analytics|Big Data|Enterprise Software|Predictive Analytics",2000000,1
SWE,Mobile,4275852,1
USA,"Consumer Electronics|Electric Vehicles|Skate Wear|Transportation|Wearables",5100000,1
GBR,"Analytics|Information Technology|Software|Supply Chain Management",6061005,1
ISR,"Advertising|Big Data Analytics|Broadcasting|Cloud Computing|Digital Media|Enterprise Software|SaaS|Video Streaming",3750000,1
USA,"Telecommunications|Web Hosting",26939852,2
BRA,Manufacturing|Retail,45400000,1
USA,Consulting|Recruiting|Training,130000,1
USA,"Ad Targeting|Advertising",3000000,1
USA,"Accounting|Cloud Computing|CRM|Developer Tools|Development Platforms|Enterprise Resource Planning|Enterprise Software|SaaS|Software",23300000,1
GBR,"Analytics|Big Data|Databases|Software|Storage",10563501,1
USA,Biotechnology|Pharmaceuticals,20750000,2
USA,Automotive,11811859.142857144,7
USA,"Contact Management|iPhone|Mobile|Telephony",2000000,1
USA,Advertising|Mobile,22050000,3
USA,"Advertising|Social Media Advertising|Video",50000,1
USA,"Advertising|Email Marketing|Software",175000,1
GBR,Advertising|Television,99234,1
DEU,"Games|Online Gaming",9000000,1
USA,"Marketing Automation|Monetization|Software",1600000,1
USA,"Cloud Computing|Enterprises|Security",49500000,1
AUS,Biotechnology,11715972.115999999,3
IRL,"Material Science|Mechanical Solutions|Nanotechnology",1038955,1
USA,Advertising|Auctions|Television|Video,48500000,1
USA,Internet|Mobile|Semiconductors,5954000,1
USA,"Bio-Pharm|Biotechnology|Health Care",401499480,1
USA,"Cloud Management|Enterprise Software",24799999.5,2
USA,"Analytics|Business Analytics|Cloud Data Services|Software",176275000,1
USA,Advertising|Displays|Mobile|Video,12400000,1
USA,"Entertainment|Games|Reviews and Recommendations|Semantic Web",24020000,1
IRL,Mobile|Security|Telecommunications,19670000,1
USA,"Big Data|Big Data Analytics|Enterprise Software|Machine Learning|Oil and Gas|Oil & Gas|Optimization|SaaS|Software",800000,1
USA,Collaboration|Enterprises|Software,30000000,1
USA,"Cloud Computing|Software",2400000,1
USA,"Analytics|Big Data",7630500,2
USA,"Assisitive Technology|Universities",1300000,1
GBR,"Advertising|Enterprise Software|Marketing Automation|Mobile",9000000,1
USA,Advertising|Auctions|Publishing,40400000,1
USA,Advertising|Media|Technology,6500000,1
USA,"Advertising|Facebook Applications|Social Media|Twitter Applications",3500,1
CAN,"Advertising|Displays|Location Based Services|Mobile|Mobile Software Tools|News|Sales and Marketing",2940000,1
CHN,Advertising,54354600,3
USA,"Ad Targeting|Advertising|Entertainment",114000000,1
NLD,"Ad Targeting|Advertising",733372,1
USA,"Analytics|Big Data|E-Commerce|Marketing Automation|Social Commerce",3635000,1
KOR,Software,7438128.666666667,3
USA,"Fitness|Health and Wellness|Health Care|Personal Health|Software",1800000,1
USA,Finance|SaaS,97469847,2
ESP,Mobile|Mobility|Transportation,4160600,1
USA,"Auctions|E-Commerce|Internet|Marketplaces|Technology|Trusted Networks",110000,1
FIN,"Enterprise Search|Search",650000,1
USA,"Advertising|Analytics|Big Data|File Sharing|Mobile Social|Social Media",73000000,1
LTU,"Advertising|Apps|Sales and Marketing|Technology",500000,1
USA,"Health and Wellness|Health Care",1240000,1
DNK,"E-Commerce|Gift Card|Online Shopping",1800000,1
USA,Coupons|E-Commerce,1500000,1
USA,"Advertising|Sales and Marketing|Software",3100000,1
USA,"Advertising|Analytics|Mobile|Real Time",2000000,1
USA,Advertising|Media|Mobile|Optimization,23000000,1
USA,Advertising|Optimization|SaaS|Software,1800000,1
USA,Advertising|Android|iOS,2000000,1
GBR,Advertising|Media|Outdoors,20118,1
CAN,Advertising,944823,1
USA,Advertising|Classifieds|E-Commerce,720000,1
DNK,Advertising|Internet|Media|Software,5500000,1
USA,"Advertising|Classifieds|Cloud Computing|Real Time",328000,1
DEU,"Ad Targeting|Advertising|Analytics|Media|Mobile Advertising",501958,1
CAN,"Advertising|All Markets|Audio|Creative|Design|Image Recognition|Video",81874,1
USA,Analytics|Mobile|Technology,1400000,1
USA,"Financial Services|Information Technology|Software",60000,1
USA,"Health Care|Medical Devices",50753444.333333336,3
USA,"Health and Wellness|Health Care Information Technology|Mobile",560000,1
NZL,"Medical Devices",3000000,1
IND,"Classifieds|Curated Web|Video",10000,1
NOR,Advertising,2900000,1
FRA,"Facebook Applications|Games",2539200,1
ISR,Advertising|Mobile,1500000,1
FRA,"Ad Targeting|Advertising|Advertising Platforms",2200000,1
CHL,Fashion,40000,1
USA,"Advertising|Coupons|Local Advertising|Local Based Services|Network Security",100000,1
DEU,Advertising|Internet|Publishing,34623,1
JPN,Mobile,1600000,1
GBR,"Advertising|Enterprise Software|SaaS",9372811.676,1
USA,Travel,3118333.3333333335,3
USA,"Advertising|Advertising Platforms|Mobile Advertising",1000000,1
FRA,"Business Development|Technology",149549,1
USA,"Advertising|CRM|Facebook Applications|Media|Social Media|Twitter Applications",3301958,1
FRA,Analytics,3411500,2
GBR,"Advertising|Displays|Sales and Marketing",2540206,1
USA,DOD/Military|E-Commerce|Internet|Marketplaces|Mobile,256000,1
USA,"Enterprise Software|Facebook Applications|Medical|Software|Technology|Weddings",550000,1
GBR,Advertising|Internet|Marketplaces|Publishing,8500000,1
USA,Analytics|Apps|Mobile|Tracking,28917736.26,1
USA,"Advertising|Apps|Content Discovery|Facebook Applications|Mobile|Mobile Games|Sales and Marketing|Social Media|Twitter Applications|Video",248000000,1
ESP,"Advertising|Social Media Marketing",307954,1
ESP,"Advertising|Analytics|Direct Marketing|Internet Marketing|Social Commerce|Social Media|Video",1368157,1
USA,Advertising|Auctions|Creative,8802628,1
DNK,Advertising|E-Commerce,600000,1
USA,Advertising|Auctions|Software,30000000,1
SWE,"Advertising|Internet|Optimization|Real Time",5000000,1
CHL,Advertising,209225.75,4
RUS,Advertising|E-Commerce,26000,1
TUR,"Advertising|E-Commerce|Publishing|Social Media|Social Network Media",600000,1
ESP,E-Commerce,469008,1
USA,"Archiving|Consulting|Image Recognition|Information Technology|Intellectual Asset Management|RIM",2300000,1
USA,"Colleges|Education|Information Services",413000,1
USA,"Colleges|Curated Web|Education|Marketplaces|Social Media",2150000,1
USA,"Advice|Education|High School Students|Online Education",1340000,1
ISL,"Databases|Information Technology|Services|Software",19311,1
USA,"Advertising|Analytics|Apps|Hardware|Internet of Things|Media|Software|Technology",4500000,1
USA,"Biotechnology|Health Care|Medical|Therapeutics",55500000,1
FRA,Biotechnology,14501896.2,5
USA,"Blogging Platforms|Networking|Social Media|Web Hosting",500000,1
